영화 코드,영화명,개봉일,영화장르,대표 제작국가,영화 감독 이름,제작사 코드
20151181,여교사,20170104,드라마,한국,김태용,20100374
20165153,눈의 여왕 3: 눈과 불의 마법대결,20170104,"애니메이션,어드벤처,가족,판타지",러시아,알렉세이 트시칠린,
20150966,사랑하기 때문에,20170104,"코미디,멜로/로맨스",한국,주지홍,20062097
20161872,너의 이름은.,20170104,"애니메이션,드라마,멜로/로맨스",일본,신카이 마코토,
20161084,패신저스,20170104,"어드벤처,SF",미국,모튼 틸덤,
20164421,어쌔신 크리드,20170111,"액션,어드벤처,판타지,SF",미국,저스틴 커젤,
20168381,얼라이드,20170111,"스릴러,드라마,멜로/로맨스",미국,로버트 저메키스,
20165443,모아나,20170112,애니메이션,미국,"론 클레멘츠,존 머스커",
20151229,더 킹,20170118,"범죄,드라마",한국,한재림,20141519
20168664,반지의 제왕 : 두개의 탑 (확장판),20170118,"판타지,어드벤처,액션",뉴질랜드,피터 잭슨,
20163845,터닝메카드W: 블랙미러의 부활,20170118,애니메이션,한국,"홍헌표,김석원",20172761
20151228,공조,20170118,액션,한국,김성훈,"20100278,20110854,20130188,20060055"
20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,20170125,애니메이션,일본,타카하시 와타루,
20168154,딥워터 호라이즌,20170125,"액션,드라마",미국,피터 버그,
20168688,레지던트 이블: 파멸의 날,20170125,"액션,공포(호러),SF,스릴러",미국,폴 W.S. 앤더슨,
20167324,라이언,20170201,드라마,호주,가스 데이비스,
20179281,컨택트,20170202,"SF,드라마,스릴러",미국,드니 빌뇌브,
20167716,트리플 엑스 리턴즈,20170208,"액션,어드벤처,스릴러",미국,D.J. 카루소,
20178881,명탐정 코난: 에피소드 원-작아진 명탐정,20170208,애니메이션,일본,야마모토 야스이치로,
20150964,조작된 도시,20170209,"범죄,액션",한국,박광현,"20100781,20141405,20138175"
20167644,발레리나,20170209,"애니메이션,어드벤처,가족,뮤지컬",프랑스,"에릭 섬머,에릭 와린",
20161141,50가지 그림자: 심연,20170209,"드라마,멜로/로맨스",미국,제임스 폴리,
20162873,레고 배트맨 무비,20170209,"애니메이션,액션,코미디",미국,크리스 맥케이,
20166421,재심,20170215,드라마,한국,김태윤,20172901
20167362,더 큐어,20170215,"미스터리,스릴러",미국,고어 버빈스키,
20163580,그레이트 월,20170215,"판타지,액션",미국,장예모,
20161744,트롤,20170216,애니메이션,미국,"마이크 미첼,월트 도른",20103156
20167906,마이펫 오지,20170216,"애니메이션,어드벤처",스페인,알베르토 로드리게즈,
20167922,핵소 고지,20170222,"드라마,전쟁",미국,멜 깁슨,
20156562,루시드 드림,20170222,"SF,스릴러",한국,김준성,20100863
20170241,23 아이덴티티,20170222,스릴러,미국,M. 나이트 샤말란,
20166101,존 윅 - 리로드,20170222,"액션,범죄,스릴러",미국,채드 스타헬스키,
20161723,싱글라이더,20170222,드라마,한국,이주영,20140593
20165927,문라이트,20170222,드라마,미국,배리 젠킨스,
20166468,사일런스,20170228,드라마,미국,마틴 스코세이지,
20161827,로건,20170301,"액션,SF",미국,제임스 맨골드,
20150971,해빙,20170301,스릴러,한국,이수연,"20110933,20155428"
20158799,눈길,20170301,드라마,한국,이나정,20114875
20168750,파도가 지나간 자리,20170308,"드라마,멜로/로맨스",미국,데릭 시엔프랜스,
20168183,콩: 스컬 아일랜드,20170308,"액션,어드벤처,판타지",미국,조던 복트-로버츠,
20164721,미녀와 야수,20170316,"멜로/로맨스,판타지,뮤지컬",미국,빌 콘돈,
20178942,스페이스 비트윈 어스,20170316,"어드벤처,드라마,멜로/로맨스,SF",미국,피터 첼섬,
20167905,비정규직 특수요원,20170316,"코미디,액션",한국,김덕수,"20153568,20161241"
20167902,보통사람,20170323,드라마,한국,김봉한,"20122965,20158289"
20179442,밤의 해변에서 혼자,20170323,드라마,한국,홍상수,20100332
20171801,극장판 암살교실 : 365일의 시간,20170323,애니메이션,일본,키시 세이지,
20162181,프리즌,20170323,"범죄,액션",한국,나현,20160723
20167363,히든 피겨스,20170323,드라마,미국,데오도르 멜피,
20163194,공각기동대 : 고스트 인 더 쉘,20170329,"SF,범죄,액션",미국,루퍼트 샌더스,
20151230,원라인,20170329,범죄,한국,양경모,"20126335,20173501"
20167364,미스 슬로운,20170329,"드라마,스릴러",미국,존 매든,
20167005,데스노트: 더 뉴 월드,20170329,"범죄,드라마,스릴러",일본,사토 신스케,
20173901,존 윅: 특별판,20170330,"액션,드라마",미국,"데이빗 레이치,채드 스타헬스키",
