영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화 감독 이름,제작사 코드
20240925,"안녕, 할부지",,2024,20240904,장편,개봉예정,한국,"다큐멘터리,애니메이션",한국,다큐멘터리,"심형준, 토마스 고",20242382
20233038,리볼버,Revolver,2023,20240807,장편,개봉,한국,범죄,한국,범죄,오승욱,20122737
20247703,바리데기,BARIDEGI: The abandoned girl,2024,20240904,장편,개봉예정,한국,"공포(호러),미스터리",한국,공포(호러),이세원,20241923
20243478,킬,Kill,2023,20240828,장편,개봉예정,인도,"액션,범죄",인도,액션,,
20242794,임영웅│아임 히어로 더 스타디움,LIM YOUNG WOONG│IM HERO THE STADIUM,2024,20240828,장편,개봉예정,한국,"공연,다큐멘터리",한국,공연,"조우영, 정현철",20110854
20242021,쥬라기캅스 극장판: 전설의 고대생물을 찾아라,,2024,20240815,장편,개봉,한국,애니메이션,한국,애니메이션,이재민,20229242
20241416,그리고 목련이 필때면,,2024,20240815,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,,20242209
20247977,1923 간토대학살,1923 Kanto Genocide,2024,20240815,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"김태영, 최규석","20169548, 20062026"
20240328,10 라이브즈,10 Lives,2024,20240815,장편,개봉,영국,애니메이션,영국,애니메이션,크리스토퍼 젠킨스,
20240104,이매지너리 ,IMAGINARY,2024,20240828,장편,개봉예정,미국,"공포(호러),미스터리,스릴러",미국,공포(호러),제프 와드로,
20234686,그 여름날의 거짓말,That Summer′s Lie,2024,20240828,장편,개봉예정,한국,"멜로/로맨스,미스터리",한국,멜로/로맨스,손현록,20231421
20242010,이오 카피타노,IO CAPITANO,2023,20240807,장편,개봉,이탈리아,드라마,이탈리아,드라마,마테오 가로네,
20234684,그녀에게,Blesser,2023,20240911,장편,개봉예정,한국,드라마,한국,드라마,이상철,20112076
20231042,빅토리,Victory,2024,20240814,장편,개봉,한국,드라마,한국,드라마,박범수,20138660
20204271,행복의 나라,Land of Happiness,2024,20240814,장편,개봉,한국,드라마,한국,드라마,추창민,"20140737, 20205861"
20241337,트위스터스,Twisters,2024,20240814,장편,개봉,미국,"액션,어드벤처,드라마",미국,액션,정이삭,
20243258,유부녀 전용 오일마사지,MAXTUSAJI SARON-01,2023,20240814,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),,
20249188,에이리언: 로물루스,Alien: Romulus,2024,20240814,장편,개봉,미국,"공포(호러),SF",미국,공포(호러),페데 알바레즈,
20243285,양아들 젊은 맛에 축축해졌다,UENO TUKIYORU,2023,20240814,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),,
20242344,신비아파트 특별편: 붉은 눈의 사신,Shinbi's Haunted House Special: The Red-Eyed Grim Reaper ,2023,20240814,장편,개봉,한국,"애니메이션,어드벤처,판타지",한국,애니메이션,,20110854
20242473,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,SEVENTEEN TOUR ‘FOLLOW’ AGAIN TO CINEMAS,2024,20240814,장편,개봉,한국,공연,한국,공연,오윤동,"20203082, 20242041"
20243310,박정희: 경제대국을 꿈꾼 남자 특별판,,2024,20240814,장편,개봉,한국,"공연,뮤지컬,드라마",한국,공연,손현우,20188601
20241502,바다 탐험대 옥토넛 어보브 앤 비욘드 : 바다가 위험해,Octonauts: Above and Beyond – Season 2,2024,20240814,장편,개봉,영국,"애니메이션,액션,어드벤처",영국,애니메이션,,
20243286,며느리의 배란일,IKIMAKURUUOME-03,2023,20240814,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),,
20231404,러브 달바,Love According to Dalva,2022,20240814,장편,개봉,프랑스,드라마,프랑스,드라마,임마누엘 니코,
20249356,공드리의 솔루션북,The Book of Solution,2023,20240814,장편,개봉,프랑스,"코미디,드라마",프랑스,코미디,미셸 공드리,
20243284,거친섹스:남편 상사의 욕정받는 날 무삭제판,ANATANO KIRAUHITO-02,2022,20240814,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),토미죠 타로,
