영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20209346,리얼돌:최고의 명기,,2019,20201016,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '코이케.Jp'}],정보 없음,정보 없음
20209347,깨끗이 닦아주는 아줌마,,2019,20201016,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '히이라기 엔부'}],정보 없음,정보 없음
20189973,카일라스 가는 길,Journey to Kailash,2018,20200903,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '정형민'}],정보 없음,정보 없음
20202684,언힌지드,Unhinged,2020,20201007,장편,개봉,미국,"스릴러,범죄",미국,스릴러,[{'peopleNm': '데릭 보트'}],정보 없음,정보 없음
20206241,남과 여: 여전히 찬란한,The Best Years of a Life,2019,20201015,장편,개봉,프랑스,"드라마,멜로/로맨스",프랑스,드라마,[{'peopleNm': '끌로드 를르슈'}],정보 없음,정보 없음
20207124,그리드,GREED,2020,20201015,장편,개봉,영국,"코미디,드라마",영국,코미디,[{'peopleNm': '마이클 윈터바텀'}],정보 없음,정보 없음
20208929,가슴큰자매들 - 무삭제,,2020,20201014,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],정보 없음,정보 없음
20207983,안녕까지 30분,Our 30-minute Sessions,2019,20201014,장편,개봉,일본,"판타지,멜로/로맨스",일본,판타지,[],정보 없음,정보 없음
20208853,야한 첫경험,Encounter at the inn,2019,20201013,장편,개봉,일본,"성인물(에로),드라마",일본,성인물(에로),[{'peopleNm': '히로아키'}],정보 없음,정보 없음
20208854,시아버지의 여자 2,Hell of beginning,2019,20201013,장편,개봉,일본,"성인물(에로),드라마",일본,성인물(에로),[{'peopleNm': '잠파'}],정보 없음,정보 없음
20202902,말할 수 없는 비밀:이모와의 관계 무삭제판,,2020,20201013,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '윤준세'}],정보 없음,정보 없음
20196782,초미의 관심사,Jazzy Misfits,2019,20200527,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '남연우'}],정보 없음,정보 없음
20204008,그린랜드,Greenland,2020,20200929,장편,개봉,미국,"액션,스릴러",미국,액션,[{'peopleNm': '릭 로먼 워'}],정보 없음,정보 없음
