영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20218194,아이윌 송,I Will Song,2021,20210701,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '이상훈'}],정보 없음,정보 없음
20218168,전야,Battlefield,2021,20210603,장편,개봉,한국,"액션,범죄",한국,액션,[{'peopleNm': '김상민'}],정보 없음,정보 없음
20201005,사다코,Sadako,2019,20210915,장편,개봉,일본,"공포(호러),스릴러",일본,공포(호러),[{'peopleNm': '나카타 히데오'}],정보 없음,정보 없음
20210173,킬링 오브 투 러버스,The Killing of Two Lovers,2020,20211014,장편,개봉,미국,멜로/로맨스,미국,멜로/로맨스,[],정보 없음,정보 없음
20200472,세상의 모든 디저트: 러브 사라,Love Sarah,2020,20210204,장편,개봉,영국,"드라마,코미디,멜로/로맨스",영국,드라마,[],정보 없음,정보 없음
20215166,다함께 여름!,All Hands on Deck,2020,20211007,장편,개봉,프랑스,코미디,프랑스,코미디,[{'peopleNm': '기욤 브락'}],정보 없음,정보 없음
20214763,내겐 너무 소중한 너,My lovely angel,2021,20210512,장편,개봉,한국,드라마,한국,드라마,"[{'peopleNm': '이창원'}, {'peopleNm': '권성모'}]",정보 없음,정보 없음
20200302,십개월의 미래 ,TEN Months,2020,20211014,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '남궁선'}],정보 없음,정보 없음
20196753,당신의 사월,Yellow Ribbon,2019,20210401,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '주현숙'}],정보 없음,정보 없음
20201022,북스마트,Booksmart,2019,20210127,장편,개봉,미국,코미디,미국,코미디,[{'peopleNm': '올리비아 와일드'}],정보 없음,정보 없음
20218364,랑종,The Medium,2021,20210714,장편,개봉,"한국,태국","공포(호러),스릴러,드라마",한국,공포(호러),[{'peopleNm': '반종 피산다나쿤'}],정보 없음,정보 없음
20218333,꽃다발 같은 사랑을 했다,We Made a Beautiful Bouquet,2021,20210714,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,[{'peopleNm': '도이 노부히로'}],정보 없음,정보 없음
20218789,피어썸,Fearsome,2021,20211007,장편,개봉,한국,"공포(호러),미스터리",한국,공포(호러),[{'peopleNm': '이상헌'}],정보 없음,정보 없음
20205158,아홉수 로맨스,Our 29th Gossip Diary,2020,20210224,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"[{'peopleNm': '이새별'}, {'peopleNm': '신효진'}]",정보 없음,정보 없음
