director_id,영화 감독 이름
1,칸바라 나오토
2,와타나베 모토츠구
3,루스 플랫
4,토니 탕
5,세키네 카즈미
6,최우성
7,자레드 콘
8,타나카 야스후미
9,카네다 사토시
10,박선욱
11,나가에 타카미
12,코시자카 야스시
13,김태용
14,알렉세이 트시칠린
15,주지홍
16,야마우치 다이스케
17,하뉴 켄지
18,로저 스포티스우드
19,신카이 마코토
20,모튼 틸덤
21,카이하라 쿠리스 료
22,마크 다카스코스
23,시라이시 코지
24,유신의
25,조 베고스
26,제이슨 모모아
27,김정오
28,"소준문,김대견,신종훈"
29,해도
30,제임스 넌
31,칸바라 이쿠토
32,모리 히데토라
33,키베 코스케
34,스테판 레이놀즈
35,이상우
36,긴다이치 코고로
37,조셉 카스텔로
38,호리이 히카루
39,명석환
40,앤드류 트라우키
41,황백기
42,피터 잭슨
43,톰 포드
44,"헨리 유스트,아리엘 슐만"
45,폴 더드리지
46,저스틴 커젤
47,토시유키 카키바라
48,로버트 저메키스
49,맥시밀리언 엘펠트
50,김진혁
51,마크 C. 앤드류스
52,김소연
53,"포웰 로빈슨,패트릭 로버트 영"
54,김병준
55,케네스 카인츠
56,하야시카와 케이테루
57,"론 클레멘츠,존 머스커"
58,오데라 슌고
59,모건 네빌
60,사카모토 후토시
61,프레드 올렌 레이
62,송창수
63,김민식
64,이동현
65,한재림
66,자비에 돌란
67,"홍헌표,김석원"
68,야마우치 켄지
69,김성훈
70,이샤오싱
71,박성수
72,존 라이트
73,이케시마 유타카
74,고토 다이스케
75,마이클 보노모
76,릭 비버
77,마르틴 바르네비츠
78,알리 아바스 자파
79,김현수
80,탁승오
81,조창호
82,니콜라이 레베데프
83,곽회중
84,기대호
85,카를로 푸스코
86,조조 히데오
87,마사키 아이죠
88,키타자와 유키오
89,나쿠루 하라다
90,M.카사하라
91,브루스 폰테인
92,"브렛 바벨,드류 바벨"
93,노진수
94,임진승
95,팔로마 아귈레라 발데베니토
96,데니스 체르노프
97,파블로 라라인
98,레베카 밀러
99,이리단
100,박은호
101,제임스 최
102,타카하시 와타루
103,피터 버그
104,유진위
105,폴 W.S. 앤더슨
106,다라 오코넬
107,기타노 헤지메
108,김대현
109,블라드렌 바르베
110,다비드 비이어
111,키탄
112,다케다 히데오
113,"임정하,전일우,박형준,김양래"
114,오쿠 와타루
115,류신의
116,가스 데이비스
117,토마스 빈터베르그
118,줄리앙 세리
119,토모마츠 나오유키
120,타케호라 테츠야
121,정대만
122,정다원
123,테이 쟈가
124,"알렉스 브루어,벤자민 브루어"
125,나카야마 다이스케
126,아라키 타로
127,드니 빌뇌브
128,화니
129,곽승호
130,라이언 브룩하트
131,원석호
132,마스모토 쇼이치로
133,레쉐프 레비
134,D.J. 카루소
135,실비 베르헤드
136,크리센진
137,우다가와 다이고
138,야마모토 야스이치로
139,장뢰
140,김무원
141,스즈키 마사하루
142,마츠무라 아슈
143,박광현
144,올리비에 아사야스
145,올리버 스톤
146,"에릭 섬머,에릭 와린"
147,제임스 폴리
148,이상수
149,신도 레이
150,샤밈 샤리프
151,크리스 맥케이
152,타이투스 파
153,숀 케인
154,리사 이모르디노 브릴랜드
155,시몬 베호벤
156,바바라 톱소-로첸버그
157,김태수
158,카즈히데
159,시마무라 유키히코
160,지헌
161,마커스 셰이크셰프
162,아론 레만
163,오부치 아키라
164,알바로 페르난데즈 아메로
165,전문기
