genre_id,대표 장르
1,성인물(에로)
2,공포(호러)
3,애니메이션
4,멜로/로맨스
5,드라마
6,코미디
7,어드벤처
8,액션
9,SF
10,범죄
11,공연
12,스릴러
13,판타지
14,다큐멘터리
15,미스터리
16,전쟁
17,가족
18,기타
19,서부극(웨스턴)
20,사극
21,뮤지컬
