boxofficeType,showRange,yearWeekTime,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
주간 박스오피스,20240101~20240107,202401,1,1,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,7120175671,27.6,-10172692617,-58.8,41152784611,729900,-1026812,-58.5,4168033,1706,32060
주간 박스오피스,20240101~20240107,202401,2,2,0,OLD,20212866,서울의 봄,2023-11-22,6825704919,26.4,-8412268008,-55.2,122176196329,684224,-862550,-55.8,12539003,1614,30527
주간 박스오피스,20240101~20240107,202401,3,3,37,OLD,20235834,위시,2024-01-03,5985385570,23.2,5979016570,93876.8,5995723570,621537,620896,96863.7,622619,1421,25420
주간 박스오피스,20240101~20240107,202401,4,4,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,1736490725,6.7,-1644266149,-48.6,7242818414,180825,-170473,-48.5,749094,834,8470
주간 박스오피스,20240101~20240107,202401,5,5,-2,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,1209442731,4.7,-2392477113,-66.4,8669042503,122074,-230561,-65.4,845060,832,7689
주간 박스오피스,20240101~20240107,202401,6,6,-1,OLD,20235596,트롤: 밴드 투게더,2023-12-20,553661235,2.1,-1181685083,-68.1,3663304436,59434,-127485,-68.2,396373,660,3518
주간 박스오피스,20240101~20240107,202401,7,7,0,OLD,20234114,괴물,2023-11-29,417046577,1.6,-84020459,-16.8,4208998852,40873,-8668,-17.5,428300,201,1939
주간 박스오피스,20240101~20240107,202401,8,8,-2,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,350899846,1.4,-458793620,-56.7,3284139142,36661,-49304,-57.4,357851,335,2110
주간 박스오피스,20240101~20240107,202401,9,9,43,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,309466549,1.2,305287645,7305.4,50424384649,30310,29924,7752.3,4822351,305,1801
주간 박스오피스,20240101~20240107,202401,10,10,-1,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,175424500,0.7,-84601430,-32.5,495304260,21846,-10026,-31.5,60669,207,1303
주간 박스오피스,20240108~20240114,202402,1,1,15,OLD,20235253,외계+인 2부,2024-01-10,6197767563,33.1,6105559563,6621.5,6289975563,640329,631557,7199.7,649101,1390,26822
주간 박스오피스,20240108~20240114,202402,2,2,1,OLD,20235834,위시,2024-01-03,3552303724,19.0,-2433081846,-40.7,9548027294,371714,-249823,-40.2,994333,1235,24002
주간 박스오피스,20240108~20240114,202402,3,3,-1,OLD,20212866,서울의 봄,2023-11-22,2410270241,12.9,-4415434678,-64.7,124586466570,243341,-440883,-64.4,12782344,1191,18068
주간 박스오피스,20240108~20240114,202402,4,4,-3,OLD,20203702,노량: 죽음의 바다,2023-12-20,2112262344,11.3,-5007913327,-70.3,43265046955,220520,-509380,-69.8,4388553,1277,18033
주간 박스오피스,20240108~20240114,202402,5,5,12,OLD,20235583,인투 더 월드,2024-01-10,1203154521,6.4,1149784521,2154.4,1310094521,129430,123532,2094.5,141143,839,9282
주간 박스오피스,20240108~20240114,202402,6,6,-2,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,710287016,3.8,-1026203709,-59.1,7953105430,73235,-107590,-59.5,822329,581,5124
주간 박스오피스,20240108~20240114,202402,7,7,13,OLD,20235353,길위에 김대중,2024-01-10,417767177,2.2,389941177,1401.4,565382177,42500,39738,1438.7,58643,414,2822
주간 박스오피스,20240108~20240114,202402,8,8,-1,OLD,20234114,괴물,2023-11-29,285487767,1.5,-131558810,-31.5,4494486619,28723,-12150,-29.7,457023,205,1734
주간 박스오피스,20240108~20240114,202402,9,9,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,263101659,1.4,-46364890,-15.0,50687486308,25329,-4981,-16.4,4847680,273,2056
주간 박스오피스,20240108~20240114,202402,10,10,-5,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,229358989,1.2,-980083742,-81.0,8898401492,23624,-98450,-80.6,868684,509,2421
주간 박스오피스,20240115~20240121,202403,1,1,0,OLD,20235253,외계+인 2부,2024-01-10,4326598520,32.7,-1871169043,-30.2,10616574083,444626,-195703,-30.6,1093727,1379,33577
주간 박스오피스,20240115~20240121,202403,2,2,0,OLD,20235834,위시,2024-01-03,2088678882,15.8,-1463624842,-41.2,11636706176,220553,-151161,-40.7,1214886,950,18303
주간 박스오피스,20240115~20240121,202403,3,3,0,OLD,20212866,서울의 봄,2023-11-22,1631808433,12.3,-778461808,-32.3,126218275003,164564,-78777,-32.4,12946908,835,13905
주간 박스오피스,20240115~20240121,202403,4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,1086814078,8.2,-1025448266,-48.5,44351861033,114307,-106213,-48.2,4502860,843,12723
주간 박스오피스,20240115~20240121,202403,5,5,0,OLD,20235583,인투 더 월드,2024-01-10,948801151,7.2,-254353370,-21.1,2258895672,104749,-24681,-19.1,245892,698,8566
주간 박스오피스,20240115~20240121,202403,6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,507197683,3.8,-203089333,-28.6,8460303113,52017,-21218,-29.0,874346,468,4207
