영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20192354,특송,Special Delivery,2020,20220112,장편,개봉,한국,"범죄,액션",한국,범죄,[{'peopleNm': '박대민'}],정보 없음,정보 없음
20210848,견왕: 이누오,INU-OH,2021,20221208,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '유아사 마사아키'}],정보 없음,정보 없음
20209132,달이 지는 밤,Vestige,2020,20220922,장편,개봉,한국,드라마,한국,드라마,"[{'peopleNm': '김종관'}, {'peopleNm': '장건재'}]",정보 없음,정보 없음
20211567,수프와 이데올로기,Soup and Ideology,2021,20221020,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '양영희'}],정보 없음,정보 없음
20190299,이상한 나라의 수학자,In Our Prime,2020,20220309,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '박동훈'}],정보 없음,정보 없음
20201875,선데이리그,Sunday League,2020,20221005,장편,개봉,한국,코미디,한국,코미디,[{'peopleNm': '이성일'}],정보 없음,정보 없음
20225114,극장판 윌벤져스 : 수상한 캠핑 대소동,The Movie WillBengers : Mysterious Camping,2022,20220623,장편,개봉,한국,애니메이션,한국,애니메이션,"[{'peopleNm': '신창환'}, {'peopleNm': '류정우'}]",정보 없음,정보 없음
20198317,인생은 아름다워,Life is Beautiful,2020,20220928,장편,개봉,한국,뮤지컬,한국,뮤지컬,[{'peopleNm': '최국희'}],정보 없음,정보 없음
20224881,마지막부자 최준,,2022,20220506,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '장태령'}],정보 없음,정보 없음
20209349,나를 죽여줘,Kill me now,2020,20221019,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '최익환'}],정보 없음,정보 없음
20196776,프린세스 아야,Princess Aya,2019,20220921,장편,개봉,한국,"판타지,뮤지컬",한국,판타지,[{'peopleNm': '이성강'}],정보 없음,정보 없음
20224598,동감,Ditto,2022,20221116,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '서은영'}],정보 없음,정보 없음
20211242,고속도로 가족,Highway Family,2022,20221102,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '이상문'}],정보 없음,정보 없음
