영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20190821,깡패들,The Gangsters,2019,20190902,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '소영환'}],정보 없음,정보 없음
20190804,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,Daejeon Romantic Comedy,2018,20190601,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '배기원'}],정보 없음,정보 없음
20177539,사바하,SVAHA : THE SIXTH FINGER,2018,20190220,장편,개봉,한국,"미스터리,스릴러",한국,미스터리,[{'peopleNm': '장재현'}],정보 없음,정보 없음
20191644,독고다이,On Your Own,2018,20190618,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '이수성'}],정보 없음,정보 없음
20181676,아내의 맛 무삭제판,,2018,20190422,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김부곤'}],정보 없음,정보 없음
20197803,겨울왕국 2,Frozen 2,2019,20191121,장편,개봉,미국,애니메이션,미국,애니메이션,"[{'peopleNm': '크리스 벅'}, {'peopleNm': '제니퍼 리'}]",정보 없음,정보 없음
20199950,조커,Joker,2019,20191002,장편,개봉,미국,"액션,드라마,스릴러",미국,액션,[{'peopleNm': '토드 필립스'}],정보 없음,정보 없음
20191546,월성,"Wolsong, The Vanishing Village",2019,20191212,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"[{'peopleNm': '남태제'}, {'peopleNm': '김성환'}]",정보 없음,정보 없음
20173991,얼굴들,Possible Faces,2017,20190124,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '이강현'}],정보 없음,정보 없음
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,2018,20190221,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '요르고스 란티모스'}],정보 없음,정보 없음
20184571,천문: 하늘에 묻는다,Forbidden Dream,2019,20191226,장편,개봉,한국,사극,한국,사극,[{'peopleNm': '허진호'}],정보 없음,정보 없음
20184187,언니,No Mercy,2018,20190101,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '임경택'}],정보 없음,정보 없음
20184896,가버나움,Capharnaum,2018,20190124,장편,개봉,기타,드라마,기타,드라마,[{'peopleNm': '나딘 라바키'}],정보 없음,정보 없음
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - Parabellum,2019,20190626,장편,개봉,미국,"액션,범죄,스릴러",미국,액션,[{'peopleNm': '채드 스타헬스키'}],정보 없음,정보 없음
20182280,졸업,Graduation,2018,20191107,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '박주환'}],정보 없음,정보 없음
