영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
19888116,거룩한 술꾼의 전설,The Legend of the Holy Drinker,1988,20230830,장편,개봉,이탈리아,드라마,이탈리아,드라마,[{'peopleNm': '에르마노 올미'}],정보 없음,정보 없음
20239877,애프터썬,Aftersun,2022,20230201,장편,개봉,영국,드라마,영국,드라마,[],정보 없음,정보 없음
20228210,괴인,A Wild Roomer,2022,20231108,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '이정홍'}],정보 없음,정보 없음
20231664,내 아내를 임신시켜줘,,2023,20230518,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '한동연'}],정보 없음,정보 없음
20236795,리향,,2023,20231228,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '신재천'}],정보 없음,정보 없음
20232620,2022 심규선 단독 콘서트 [밤의 정원: 앙코르],,2023,20230708,장편,개봉,한국,공연,한국,공연,[{'peopleNm': '이승남'}],정보 없음,정보 없음
20231342,초대의 법칙,Borders of Love,2022,20230511,장편,개봉,기타,"멜로/로맨스,드라마",기타,멜로/로맨스,[],정보 없음,정보 없음
20193706,카운트,Count,2021,20230222,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '권혁재'}],정보 없음,정보 없음
20219997,드림팰리스,Dream Palace,2022,20230531,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '가성문'}],정보 없음,정보 없음
20232077,어른 김장하,A Man Who Heals the City,2023,20231115,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '김현지'}],정보 없음,정보 없음
20218541,밀수,Smugglers,2023,20230726,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '류승완'}],정보 없음,정보 없음
20231830,섹스에 빠진 제수씨 무삭제판,,2022,20230629,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '사쿠라비토'}],정보 없음,정보 없음
20197654,소울메이트,Soulmate,2020,20230315,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '민용근'}],정보 없음,정보 없음
20212667,화사한 그녀,MISS FORTUNE,2023,20231011,장편,개봉,한국,코미디,한국,코미디,[{'peopleNm': '이승준'}],정보 없음,정보 없음
20227626,화란,Hopeless,2022,20231011,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '김창훈'}],정보 없음,정보 없음
