영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20183014,짱,Top Dog,2018,20181228,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '송재덕'}],정보 없음,정보 없음
20180671,호밀밭의 반항아,Rebel in the Rye,2017,20181018,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '대니 스트롱'}],정보 없음,정보 없음
20179286,하이큐!! 콘셉트의 싸움,Haikyu!! The movie: The Battle of Concepts,2017,20180111,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '미츠나카 스스무'}],정보 없음,정보 없음
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,2017,20180801,장편,개봉,한국,"판타지,드라마",한국,판타지,[{'peopleNm': '김용화'}],정보 없음,정보 없음
20188501,미친도시,Crazy City,2018,20180830,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '장태령'}],정보 없음,정보 없음
20172767,거룩한 분노,The Divine Order,2016,20180628,장편,개봉,스위스,드라마,스위스,드라마,[{'peopleNm': '페트라 볼프'}],정보 없음,정보 없음
20161724,스타박'스 다방,Bittersweet Brew,2016,20180111,장편,개봉,한국,"코미디,드라마",한국,코미디,[{'peopleNm': '이상우'}],정보 없음,정보 없음
20180523,스타 이즈 본,A Star Is Born,2018,20181009,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,[{'peopleNm': '브래들리 쿠퍼'}],정보 없음,정보 없음
20185046,서치,Searching,2017,20180829,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '아니쉬 차간티'}],정보 없음,정보 없음
20173745,콜럼버스,Columbus,2017,20180419,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,[{'peopleNm': '코고나다'}],정보 없음,정보 없음
20173202,버닝,BURNING,2018,20180517,장편,개봉,한국,미스터리,한국,미스터리,[{'peopleNm': '이창동'}],정보 없음,정보 없음
20178449,쓰리 빌보드,"Three Billboards Outside Ebbing, Missouri",2017,20180315,장편,개봉,미국,"코미디,범죄,드라마",미국,코미디,[{'peopleNm': '마틴 맥도나'}],정보 없음,정보 없음
20173436,셰이프 오브 워터: 사랑의 모양,The Shape of Water,2017,20180222,장편,개봉,미국,"어드벤처,판타지",미국,어드벤처,[{'peopleNm': '기예르모 델 토로'}],정보 없음,정보 없음
20174323,B급 며느리,Myeoneuri: My Son's Crazy Wife,2017,20180117,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '선호빈'}],정보 없음,정보 없음
20180555,엘 마르,Between Sea and Land,2015,20181025,장편,개봉,콜롬비아,드라마,콜롬비아,드라마,"[{'peopleNm': '마놀로 크루즈'}, {'peopleNm': '카를로스 델 카스티요'}]",정보 없음,정보 없음
20181942,맘마미아!2,Mamma Mia: Here We Go Again,2018,20180808,장편,개봉,미국,뮤지컬,미국,뮤지컬,[{'peopleNm': '올 파커'}],정보 없음,정보 없음
20184689,아일라,Ayla: The Daughter of War ,2017,20180621,장편,개봉,터키,"드라마,전쟁",터키,드라마,[{'peopleNm': '칸 울카이'}],정보 없음,정보 없음
20173734,죄 많은 소녀,After My Death,2017,20180913,장편,개봉,한국,"드라마,미스터리",한국,드라마,[{'peopleNm': '김의석'}],정보 없음,정보 없음
20171122,레디 플레이어 원,Ready Player One,2018,20180328,장편,개봉,미국,"액션,SF,어드벤처",미국,액션,[{'peopleNm': '스티븐 스필버그'}],정보 없음,정보 없음
20180522,앤트맨과 와스프,Ant-Man and the Wasp,2018,20180704,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,[{'peopleNm': '페이튼 리드'}],정보 없음,정보 없음
