boxofficeType,showRange,yearWeekTime,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
주중 박스오피스,20240122~20240125,202404,10,10,-2,OLD,20235854,덤 머니,2024-01-17,65726862,1.5,-24660481,-27.3,299159407,7345,-2939,-28.6,32337,398,1469
주중 박스오피스,20240129~20240201,202405,1,1,0,NEW,20236180,웡카,2024-01-31,2262715153,36.1,2262715153,100.0,2283318153,258470,258470,100.0,259988,1717,14291
주중 박스오피스,20240129~20240201,202405,2,2,-1,OLD,20206946,시민덕희,2024-01-24,1682098341,26.9,653611021,63.6,6468091085,195625,83092,73.8,700615,1177,15893
주중 박스오피스,20240129~20240201,202405,3,3,-1,OLD,20235253,외계+인 2부,2024-01-10,441505234,7.1,-408736990,-48.1,13090833414,50674,-39421,-43.8,1357476,839,7734
주중 박스오피스,20240129~20240201,202405,4,4,0,OLD,20212866,서울의 봄,2023-11-22,245347555,3.9,-145727749,-37.3,127365123220,27445,-13275,-32.6,13065830,645,3932
주중 박스오피스,20240129~20240201,202405,5,5,-2,OLD,20235834,위시,2024-01-03,221926871,3.5,-219569538,-49.7,12990638982,25668,-22930,-47.2,1361359,628,3982
주중 박스오피스,20240129~20240201,202405,6,6,12,OLD,20212668,도그데이즈,2024-02-07,132925000,2.1,103972000,359.1,164101000,14737,11520,358.1,18201,36,69
주중 박스오피스,20240129~20240201,202405,7,7,50,OLD,20234730,추락의 해부,2024-01-31,94691761,1.5,91919761,3316.0,135256761,11521,11213,3640.6,14508,228,632
주중 박스오피스,20240129~20240201,202405,8,8,-3,OLD,20203702,노량: 죽음의 바다,2023-12-20,95901443,1.5,-131933904,-57.9,44900139029,11005,-13487,-55.1,4561736,539,2162
주중 박스오피스,20240129~20240201,202405,9,9,-3,OLD,20235583,인투 더 월드,2024-01-10,86708656,1.4,-82473550,-48.7,2897569609,10355,-9475,-47.8,317565,406,1545
주중 박스오피스,20240129~20240201,202405,10,10,-3,OLD,20236464,도그맨,2024-01-24,76797175,1.2,-60314974,-44.0,407338108,8646,-6778,-43.9,43711,452,1805
주중 박스오피스,20240205~20240208,202406,1,1,0,OLD,20236180,웡카,2024-01-31,2633564861,39.9,370849708,16.4,10224702471,276227,17757,6.9,1062947,1592,19874
주중 박스오피스,20240205~20240208,202406,2,2,0,OLD,20206946,시민덕희,2024-01-24,914433850,13.9,-767664491,-45.6,9585030893,98835,-96790,-49.5,1029803,974,10167
주중 박스오피스,20240205~20240208,202406,3,3,11,OLD,20247074,건국전쟁,2024-02-01,545529497,8.3,491110658,902.5,907995731,57858,52223,926.8,93509,300,1582
주중 박스오피스,20240205~20240208,202406,4,4,27,OLD,20211477,데드맨,2024-02-07,504083840,7.6,493049840,4468.5,523511840,55843,54701,4789.9,57741,741,4515
주중 박스오피스,20240205~20240208,202406,5,5,1,OLD,20212668,도그데이즈,2024-02-07,400750342,6.1,267825342,201.5,608013870,43204,28467,193.2,65513,847,5482
주중 박스오피스,20240205~20240208,202406,6,6,34,OLD,20231415,소풍,2024-02-07,320837356,4.9,313949356,4557.9,337796356,36359,35631,4894.4,38206,676,3465
주중 박스오피스,20240205~20240208,202406,7,7,0,NEW,20234581,아가일,2024-02-07,332736024,5.0,332736024,100.0,361043024,32471,32471,100.0,34890,841,4852
주중 박스오피스,20240205~20240208,202406,8,8,-5,OLD,20235253,외계+인 2부,2024-01-10,113325966,1.7,-328179268,-74.3,13677603620,12184,-38490,-76.0,1418428,582,2338
주중 박스오피스,20240205~20240208,202406,9,9,-2,OLD,20234730,추락의 해부,2024-01-31,113450786,1.7,18759025,19.8,421874764,12009,488,4.2,43548,224,923
주중 박스오피스,20240205~20240208,202406,10,10,-6,OLD,20212866,서울의 봄,2023-11-22,89362262,1.4,-155985293,-63.6,127665808780,10035,-17410,-63.4,13099114,474,1473
주중 박스오피스,20240212~20240215,202407,1,1,0,OLD,20236180,웡카,2024-01-31,4273522266,34.2,1639957405,62.3,19673310527,443220,166993,60.5,2028338,1378,16726
주중 박스오피스,20240212~20240215,202407,2,2,1,OLD,20247074,건국전쟁,2024-02-01,2232666636,17.9,1687137139,309.3,4631515543,243936,186078,321.6,485406,921,6551
주중 박스오피스,20240212~20240215,202407,3,3,-1,OLD,20206946,시민덕희,2024-01-24,1552640685,12.4,638206835,69.8,14595404593,162981,64146,64.9,1546426,1250,9768
주중 박스오피스,20240212~20240215,202407,4,4,0,NEW,20247076,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,1204885200,9.6,1204885200,100.0,1407799000,104153,104153,100.0,115345,388,3862
주중 박스오피스,20240212~20240215,202407,5,5,0,OLD,20212668,도그데이즈,2024-02-07,754804995,6.0,354054653,88.3,2877117483,78620,35416,82.0,296988,784,6809
주중 박스오피스,20240212~20240215,202407,6,6,0,OLD,20231415,소풍,2024-02-07,619719752,5.0,298882396,93.2,1881322631,71034,34675,95.4,207299,717,5185
주중 박스오피스,20240212~20240215,202407,7,7,-3,OLD,20211477,데드맨,2024-02-07,407475623,3.3,-96608217,-19.2,2081788910,43334,-12509,-22.4,218167,747,5039
주중 박스오피스,20240212~20240215,202407,8,8,-1,OLD,20234581,아가일,2024-02-07,273734907,2.2,-59001117,-17.7,1276165850,27137,-5334,-16.4,123299,727,3680
주중 박스오피스,20240212~20240215,202407,9,9,2,OLD,20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,195992570,1.6,123831534,171.6,580698336,22627,13717,154.0,65163,555,1708
주중 박스오피스,20240212~20240215,202407,10,10,-1,OLD,20234730,추락의 해부,2024-01-31,94360295,0.8,-19090491,-16.8,621518885,9499,-2510,-20.9,63371,110,583
주중 박스오피스,20240219~20240222,202408,1,1,0,NEW,20234675,파묘,2024-02-22,3149104151,34.8,3149104151,100.0,3149104151,336129,336129,100.0,336129,1944,7560
주중 박스오피스,20240219~20240222,202408,2,2,-1,OLD,20236180,웡카,2024-01-31,2052141236,22.7,-2221381030,-52.0,26023553869,220169,-223051,-50.3,2691188,1156,14756
주중 박스오피스,20240219~20240222,202408,3,3,-1,OLD,20247074,건국전쟁,2024-02-01,1254315490,13.9,-978351146,-43.8,8012975328,143138,-100798,-41.3,853647,843,10165
주중 박스오피스,20240219~20240222,202408,4,4,0,OLD,20247076,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,740253800,8.2,-464631400,-38.6,3921967400,67722,-36431,-35.0,337361,377,5732
주중 박스오피스,20240219~20240222,202408,5,5,-2,OLD,20206946,시민덕희,2024-01-24,383295941,4.2,-1169344744,-75.3,15891617791,40962,-122019,-74.9,1681085,699,5990
주중 박스오피스,20240219~20240222,202408,6,6,0,OLD,20231415,소풍,2024-02-07,272867337,3.0,-346852415,-56.0,2524196640,32389,-38645,-54.4,281082,601,3473
주중 박스오피스,20240219~20240222,202408,7,7,-2,OLD,20212668,도그데이즈,2024-02-07,185378239,2.0,-569426756,-75.4,3497777984,19499,-59121,-75.2,359904,592,3055
주중 박스오피스,20240219~20240222,202408,8,8,51,OLD,20247219,사운드 오브 프리덤,2024-02-21,137789600,1.5,135302600,5440.4,159121800,12877,12617,4852.7,14935,248,1222
주중 박스오피스,20240219~20240222,202408,9,9,-2,OLD,20211477,데드맨,2024-02-07,56497930,0.6,-350977693,-86.1,2267982765,6201,-37133,-85.7,237677,397,1408
주중 박스오피스,20240219~20240222,202408,10,10,-1,OLD,20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,41091456,0.5,-154901114,-79.0,755063070,5296,-17331,-76.6,85529,173,530
주중 박스오피스,20240226~20240229,202409,1,1,0,OLD,20234675,파묘,2024-02-22,12657804222,68.0,9508700071,301.9,35074653666,1395797,1059668,315.3,3697234,2145,31742
주중 박스오피스,20240226~20240229,202409,2,2,27,OLD,20236295,듄: 파트2,2024-02-28,2780026113,14.9,2761084113,14576.5,2798968113,267299,266093,22064.1,268505,1544,9791
주중 박스오피스,20240226~20240229,202409,3,3,-1,OLD,20236180,웡카,2024-01-31,1370510480,7.4,-681630756,-33.2,30068563086,154079,-66090,-30.0,3124697,777,7196
주중 박스오피스,20240226~20240229,202409,4,4,-1,OLD,20247074,건국전쟁,2024-02-01,569963219,3.1,-684352271,-54.6,9637314158,66239,-76899,-53.7,1032762,652,4294
주중 박스오피스,20240226~20240229,202409,5,5,-1,OLD,20247076,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,325877200,1.8,-414376600,-56.0,4901269600,32633,-35089,-51.8,426871,300,2614
주중 박스오피스,20240226~20240229,202409,6,6,0,OLD,20231415,소풍,2024-02-07,118534801,0.6,-154332536,-56.6,2816606020,14155,-18234,-56.3,314378,273,1002
