boxofficeType,showRange,yearWeekTime,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
주중 박스오피스,20240408~20240411,202415,1,1,38,OLD,20236614,쿵푸팬더4,2024-04-10,4320116999,46.4,4316489999,119009.9,4347350999,466359,465956,115621.8,469159,2311,16808
주중 박스오피스,20240408~20240411,202415,2,2,-1,OLD,20234675,파묘,2024-02-22,1455015538,15.6,-68341701,-4.5,110927620411,149498,-12155,-7.5,11485215,1177,11768
주중 박스오피스,20240408~20240411,202415,3,3,-1,OLD,20231041,댓글부대,2024-03-27,715228578,7.7,-425273888,-37.3,8257865600,73060,-48106,-39.7,872783,805,7437
주중 박스오피스,20240408~20240411,202415,4,4,4,OLD,20231677,남은 인생 10년,2023-05-24,565641200,6.1,422313470,294.6,2717213056,57395,42598,287.9,264256,440,2659
주중 박스오피스,20240408~20240411,202415,5,5,0,OLD,20247673,오멘: 저주의 시작,2024-04-03,339733896,3.7,96240004,39.5,1211048436,33346,8340,33.4,118952,587,3197
주중 박스오피스,20240408~20240411,202415,6,6,-3,OLD,20248496,고질라 X 콩: 뉴 엠파이어,2024-03-27,249894166,2.7,-195286124,-43.9,4772285822,25627,-19143,-42.8,475440,635,3365
주중 박스오피스,20240408~20240411,202415,7,7,-3,OLD,20247780,비키퍼,2024-04-03,170675354,1.8,-101352753,-37.3,844515525,18462,-11912,-39.2,90607,585,3290
주중 박스오피스,20240408~20240411,202415,8,8,-2,OLD,20236295,듄: 파트2,2024-02-28,221539144,2.4,-101283637,-31.4,22917083102,16466,-7716,-31.9,1956702,254,918
주중 박스오피스,20240408~20240411,202415,9,9,36,OLD,20247294,골드핑거,2024-04-10,123832029,1.3,120637029,3775.8,127027029,14041,13686,3855.2,14396,423,1490
주중 박스오피스,20240408~20240411,202415,10,10,-3,OLD,20201502,유미의 세포들 더 무비,2024-04-03,102855600,1.1,-16984060,-14.2,481540920,13021,-4886,-27.3,62413,336,2114
주중 박스오피스,20240415~20240418,202416,1,1,0,OLD,20236614,쿵푸팬더4,2024-04-10,818450627,26.2,-3501666372,-81.1,9056316530,88194,-378165,-81.1,965923,1454,17049
주중 박스오피스,20240415~20240418,202416,2,2,0,OLD,20234675,파묘,2024-02-22,625092096,20.0,-829923442,-57.0,112849801391,65186,-84312,-56.4,11679270,921,9681
주중 박스오피스,20240415~20240418,202416,3,3,1,OLD,20231677,남은 인생 10년,2023-05-24,212713268,6.8,-352927932,-62.4,3512612034,21745,-35650,-62.1,343336,490,3645
주중 박스오피스,20240415~20240418,202416,4,4,-1,OLD,20231041,댓글부대,2024-03-27,194131504,6.2,-521097074,-72.9,8881169668,20474,-52586,-72.0,936172,623,4357
주중 박스오피스,20240415~20240418,202416,5,5,16,OLD,20235613,스턴트맨,2024-05-01,137382000,4.4,116898000,570.7,157866000,14710,12434,546.3,16986,35,71
주중 박스오피스,20240415~20240418,202416,6,6,0,NEW,20228797,범죄도시4,2024-04-24,156862000,5.0,156862000,100.0,156862000,13767,13767,100.0,13767,24,75
주중 박스오피스,20240415~20240418,202416,7,7,-2,OLD,20247673,오멘: 저주의 시작,2024-04-03,123574406,4.0,-216159490,-63.6,1617439352,12161,-21185,-63.5,157807,393,2061
주중 박스오피스,20240415~20240418,202416,8,8,42,OLD,20248466,고스트버스터즈: 오싹한 뉴욕,2024-04-17,92654687,3.0,90980687,5434.9,94328687,9998,9812,5275.3,10184,582,3061
주중 박스오피스,20240415~20240418,202416,9,9,-1,OLD,20236295,듄: 파트2,2024-02-28,59353853,1.9,-162185291,-73.2,23085477374,5439,-11027,-67.0,1972264,153,711
주중 박스오피스,20240415~20240418,202416,10,10,0,NEW,19950095,레옹 ,1995-02-18,35590586,1.1,35590586,100.0,390976106,5209,5209,100.0,51872,76,198
