boxofficeType,showRange,yearWeekTime,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
주말 박스오피스,20240105~20240107,202401,1,1,0,NEW,20235834,위시,2024-01-03,4323123528,36.1,4323123528,100.0,5995723570,442087,442087,100.0,622619,1421,16779
주말 박스오피스,20240105~20240107,202401,2,2,-1,OLD,20203702,노량: 죽음의 바다,2023-12-20,2660464007,22.2,-5236345903,-66.3,41152784611,269719,-508240,-65.3,4168033,1408,12551
주말 박스오피스,20240105~20240107,202401,3,3,-1,OLD,20212866,서울의 봄,2023-11-22,2608283805,21.8,-4843011267,-65.0,122176196329,258511,-480961,-65.0,12539003,1287,12089
주말 박스오피스,20240105~20240107,202401,4,4,-1,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,746554109,6.2,-730502224,-49.5,7242818414,76701,-75505,-49.6,749094,628,3330
주말 박스오피스,20240105~20240107,202401,5,5,-1,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,415176719,3.5,-1158752759,-73.6,8669042503,42297,-109808,-72.2,845060,589,2523
주말 박스오피스,20240105~20240107,202401,6,6,35,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,227269234,1.9,225076522,10264.8,50424384649,21963,21772,11399.0,4822351,299,1301
주말 박스오피스,20240105~20240107,202401,7,7,1,OLD,20234114,괴물,2023-11-29,206037531,1.7,-41613975,-16.8,4208998852,20298,-3404,-14.4,428300,201,851
주말 박스오피스,20240105~20240107,202401,8,8,-3,OLD,20235596,트롤: 밴드 투게더,2023-12-20,153067177,1.3,-510500922,-76.9,3663304436,16233,-55195,-77.3,396373,344,1179
주말 박스오피스,20240105~20240107,202401,9,9,-3,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,129337962,1.1,-147937334,-53.4,3284139142,13472,-15131,-52.9,357851,219,862
주말 박스오피스,20240105~20240107,202401,10,10,-1,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,62924860,0.5,-83820480,-57.1,495304260,7799,-10052,-56.3,60669,163,544
주말 박스오피스,20240112~20240114,202402,1,1,14,OLD,20235253,외계+인 2부,2024-01-10,4700360235,39.2,4659449235,11389.2,6289975563,480574,476947,13149.9,649101,1390,16626
주말 박스오피스,20240112~20240114,202402,2,2,-1,OLD,20235834,위시,2024-01-03,2082794960,17.4,-2240328568,-51.8,9548027294,213648,-228439,-51.7,994333,1069,9267
주말 박스오피스,20240112~20240114,202402,3,3,0,OLD,20212866,서울의 봄,2023-11-22,1360877463,11.3,-1247406342,-47.8,124586466570,134752,-123759,-47.9,12782344,923,6728
주말 박스오피스,20240112~20240114,202402,4,4,-2,OLD,20203702,노량: 죽음의 바다,2023-12-20,1178171328,9.8,-1482292679,-55.7,43265046955,121302,-148417,-55.0,4388553,981,6746
주말 박스오피스,20240112~20240114,202402,5,5,0,NEW,20235583,인투 더 월드,2024-01-10,950989099,7.9,950989099,100.0,1310094521,101135,101135,100.0,141143,839,5556
주말 박스오피스,20240112~20240114,202402,6,6,-2,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,408650129,3.4,-337903980,-45.3,7953105430,41460,-35241,-45.9,822329,481,2006
주말 박스오피스,20240112~20240114,202402,7,7,10,OLD,20235353,길위에 김대중,2024-01-10,258691519,2.2,232353519,882.2,565382177,25831,23269,908.2,58643,414,1689
주말 박스오피스,20240112~20240114,202402,8,8,-1,OLD,20234114,괴물,2023-11-29,147134531,1.2,-58903000,-28.6,4494486619,14217,-6081,-30.0,457023,185,727
주말 박스오피스,20240112~20240114,202402,9,9,-3,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,141372881,1.2,-85896353,-37.8,50687486308,13108,-8855,-40.3,4847680,212,766
주말 박스오피스,20240112~20240114,202402,10,10,0,NEW,20236557,스즈메의 문단속: 다녀왔어,2024-01-10,126356068,1.1,126356068,100.0,227199433,12294,12294,100.0,22537,185,650
주말 박스오피스,20240119~20240121,202403,1,1,0,OLD,20235253,외계+인 2부,2024-01-10,2742608484,34.2,-1957751751,-41.7,10616574083,277796,-202778,-42.2,1093727,1379,15000
주말 박스오피스,20240119~20240121,202403,2,2,0,OLD,20235834,위시,2024-01-03,1291647037,16.1,-791147923,-38.0,11636706176,133874,-79774,-37.3,1214886,950,8472
주말 박스오피스,20240119~20240121,202403,3,3,0,OLD,20212866,서울의 봄,2023-11-22,918924126,11.5,-441953337,-32.5,126218275003,91114,-43638,-32.4,12946908,835,6056
