영화대표코드,제목,개봉일,해당일자 상영작 대비 해당영화 매출비율,누적 매출액,누적 관객수,상영시작일,상영종료일,상영연도,상영월,지역
20182530,극한직업,2019-01-23,0.7,3648749580,445937,2019-03-18,2019-03-24,2019,3,강원도
20150976,신과함께-죄와 벌,2017-12-20,0.9,2952424800,381656,2018-02-12,2018-02-18,2018,2,강원도
20197803,겨울왕국 2,2019-11-21,2.8,2834998600,367639,2020-01-06,2020-01-12,2020,1,강원도
20184889,어벤져스: 엔드게임,2019-04-24,1.7,2890145210,356963,2020-05-04,2020-05-10,2020,5,강원도
20186202,신과함께-인과 연,2018-08-01,1.5,2805771000,353693,2018-09-10,2018-09-16,2018,9,강원도
20212866,서울의 봄,2023-11-22,0.8,3227134790,349821,2024-02-05,2024-02-11,2024,2,강원도
20204548,범죄도시2,2022-05-18,0.1,3272140050,333903,2022-07-25,2022-07-31,2022,7,강원도
20162869,택시운전사,2017-08-02,3.4,2447196100,326844,2017-09-11,2017-09-17,2017,9,강원도
20228797,범죄도시4,2024-04-24,0.8,2910433253,321055,2024-06-17,2024-06-23,2024,6,강원도
20234675,파묘,2024-02-22,0.7,2928298665,317690,2024-05-06,2024-05-12,2024,5,강원도
20226411,범죄도시3,2023-05-31,1.5,2749521868,292952,2023-07-17,2023-07-23,2023,7,강원도
20177478,어벤져스: 인피니티 워,2018-04-25,0.3,2321054200,281243,2018-06-11,2018-06-17,2018,6,강원도
20225061,아바타: 물의 길,2022-12-14,1.9,3218601565,271606,2023-02-20,2023-02-26,2023,2,강원도
20183867,알라딘,2019-05-23,0.2,2190614960,270332,2020-08-03,2020-08-09,2020,8,강원도
20183782,기생충,2019-05-30,4.9,2056844190,254239,2020-04-27,2020-05-03,2020,"4, 5",강원도
20184621,엑시트,2019-07-31,2.7,1957971270,246124,2019-09-09,2019-09-15,2019,9,강원도
20192206,백두산,2019-12-19,0.4,1883926000,235953,2020-01-27,2020-02-02,2020,"1, 2",강원도
20235974,인사이드 아웃 2,2024-06-12,4.6,1893896542,211292,2024-08-05,2024-08-11,2024,8,강원도
20185485,보헤미안 랩소디,2018-10-31,4.5,1725566730,205944,2019-01-07,2019-01-13,2019,1,강원도
20196309,스파이더맨: 파 프롬 홈,2019-07-02,1.7,1597474770,200665,2019-07-29,2019-08-04,2019,"7, 8",강원도
20209343,한산: 용의 출현,2022-07-27,0.6,1813089012,197357,2022-09-12,2022-09-18,2022,9,강원도
20161481,군함도,2017-07-26,0.6,1415661900,197006,2017-08-21,2017-08-27,2017,8,강원도
20151228,공조,2017-01-18,4.8,1523450300,194906,2017-02-20,2017-02-26,2017,2,강원도
20215601,공조2: 인터내셔날,2022-09-07,2.6,1735693441,184018,2022-10-31,2022-11-06,2022,"10, 11",강원도
20170590,1987,2017-12-27,1.6,1397587700,181330,2018-02-05,2018-02-11,2018,2,강원도
20172742,범죄도시,2017-10-03,2.4,1355707700,177301,2017-11-20,2017-11-26,2017,11,강원도
20194376,탑건: 매버릭,2022-06-22,0.7,1727255687,174410,2022-09-12,2022-09-18,2022,9,강원도
20167303,스파이더맨: 홈 커밍,2017-07-05,0.7,1312236200,170379,2017-07-31,2017-08-06,2017,"7, 8",강원도
20228930,엘리멘탈,2023-06-14,2.1,1579727803,168084,2023-09-11,2023-09-17,2023,9,강원도
20210028,스파이더맨: 노 웨이 홈,2021-12-15,0.6,1569703260,165516,2022-03-14,2022-03-20,2022,3,강원도
20184462,봉오동 전투,2019-08-07,0.3,1251700040,160895,2019-09-16,2019-09-22,2019,9,강원도
20162442,청년경찰,2017-08-09,2.6,1173238100,158205,2017-09-11,2017-09-17,2017,9,강원도
20181181,미션 임파서블: 폴아웃,2018-07-25,1.2,1197364800,149496,2018-08-20,2018-08-26,2018,8,강원도
20176122,안시성,2018-09-19,0.9,1198287750,148185,2018-10-22,2018-10-28,2018,10,강원도
20226270,스즈메의 문단속,2023-03-08,0.4,1413455837,146872,2023-05-29,2023-06-04,2023,"5, 6",강원도
20179101,공작,2018-08-08,1.4,1144760700,141503,2018-09-10,2018-09-16,2018,9,강원도
20179086,쥬라기 월드: 폴른 킹덤,2018-06-06,0.9,1160151600,140676,2018-07-02,2018-07-08,2018,7,강원도
20181877,캡틴 마블,2019-03-06,0.2,1111404080,135146,2019-04-22,2019-04-28,2019,4,강원도
20212855,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,0.5,1319556400,133680,2022-06-06,2022-06-12,2022,6,강원도
20177538,완벽한 타인,2018-10-31,1.5,1049372650,131556,2018-12-03,2018-12-09,2018,12,강원도
20170561,블랙 팬서,2018-02-14,6.4,1049106700,131117,2018-03-05,2018-03-11,2018,3,강원도
20179383,독전,2018-05-22,3.5,1059946900,130473,2018-06-25,2018-07-01,2018,"6, 7",강원도
20180522,앤트맨과 와스프,2018-07-04,0.3,1045224300,129827,2018-07-30,2018-08-05,2018,"7, 8",강원도
20218541,밀수,2023-07-26,2.2,1175445102,129201,2023-09-11,2023-09-17,2023,9,강원도
